Match ID,Date,Day,Month,daymonth,Year,DateFormat,Opponent,Home/Away,Competition,Score,Result,Score Rank,HomeTeam,HomeScore,AwayTeam,AwayScore
3359,19th Dec 1970,19,12,19-12,1970,25921,Bramley,H,L,St. Helens 34 - 0 Bramley,W,1156,Saints,34,Bramley,0
49,8th Mar 2002,8,3,8-3,2002,37323,Salford Reds,H,SL,St. Helens 34 - 2 Salford Reds,W,1152,Saints,34,Salford R,2
4673,24th Aug 2008,24,8,24-8,2008,39684,Huddersfield Giants,A,SL,Huddersfield Giants 22 - 40 St. Helens,W,1116,Huddersfld,22,Saints,40
3147,30th Sep 1966,30,9,30-9,1966,24380,Whitehaven,H,L,St. Helens 35 - 12 Whitehaven,W,1081,Saints,35,Whitehaven,12
4230,27th Jul 2003,27,7,27-7,2003,37829,Wakefield Trinity Wildcats,A,SL,Wakefield Trinity Wildcats 15 - 36 St. Helens,W,1071,Wakefield ,15,Saints,36
2995,25th May 1963,25,5,25-5,1963,23156,Halifax,A,L,Halifax 5 - 33 St. Helens,W,1064,Halifax,5,Saints,33
3413,1st Jan 1972,1,1,1-1,1972,26299,Widnes,H,L,St. Helens 33 - 5 Widnes,W,1064,Saints,33,Widnes,5
3733,8th Oct 1978,8,10,8-10,1978,28771,Rochdale Hornets,H,L,St. Helens 33 - 5 Rochdale Hornets,W,1064,Saints,33,Rochdale H,5
75,9th May 2001,9,5,9-5,2001,37020,Castleford Tigers,H,SL,St. Helens 36 - 16 Castleford Tigers,W,1040,Saints,36,Castleford,16
5055,26th May 2019,26,5,26-5,2019,43611,Castleford Tigers,H,SL,St. Helens 36 - 16 Castleford Tigers,W,1040,Saints,36,Castleford,16
4633,28th Jul 2007,28,7,28-7,2007,39291,Bradford Bulls,H,CCCSF,St. Helens 35 - 14 Bradford Bulls,W,1029,Saints,35,Bradford B,14
5078,29th Feb 2020,29,2,29-2,2020,43890,Toronto Wolfpack,A,SL,Toronto Wolfpack 0 - 32 St. Helens,W,1024,Toronto W,0,Saints,32
1612,9th Feb 1929,9,2,9-2,1929,10633,Lindley,H,CC1,St. Helens 32 - 2 Lindley,W,1020,Saints,32,Lindley,2
2790,13th Dec 1958,13,12,13-12,1958,21532,Swinton,H,L,St. Helens 32 - 3 Swinton,W,1015,Saints,32,Swinton,3
4161,26th Feb 1989,26,2,26-2,1989,32565,Featherstone Rovers,H,CC3,St. Helens 32 - 3 Featherstone Rovers,W,1015,Saints,32,Feathersto,3
4061,12th Oct 1986,12,10,12-10,1986,31697,Barrow,A,L,Barrow 12 - 34 St. Helens,W,1012,Barrow,12,Saints,34
5112,7th Aug 2021,7,8,7-8,2021,44415,Catalans Dragons,H,SL,St. Helens 34 - 12 Catalans Dragons,W,1012,Saints,34,Catalans D,12
3979,21st Oct 1984,21,10,21-10,1984,30976,Oldham,H,L,St. Helens 32 - 5 Oldham,W,999,Saints,32,Oldham,5
5013,12th May 2018,12,5,12-5,2018,43232,Castleford Tigers,A,RLCC6,Castleford Tigers 18 - 36 St. Helens,W,972,Castleford,18,Saints,36
367,12th Mar 1993,12,3,12-3,1993,34040,Hull Kingston Rovers,H,L,St. Helens 34 - 14 Hull Kingston Rovers,W,960,Saints,34,Hull K,14
